HDI_group,GNI,GDI_group,MYS,MMR,ABR,SWSP
2,6850.140706,5,4.369,120,35.819,10.9774436
1,1123.435974,5,3.245,480,137.755,39.6
2,9417.804268,1,6.22,130,54.912,37.6923077
1,2311.257043,4,3.31,190,73.684,29.480737
4,45435.1166,3,11.88930225,6,6.165,36.8888889
4,32689.36246,2,12.503,8,25.309,31.4049587
2,4456.540043,2,6,100,100.796,39.1304348
1,908.3426097,5,1.45,630,204.789,13.2743363
1,5341.109794,5,5.94666,560,119.594,6.6098081
4,64992.34046,1,12.631,4,7.834,39.6449704
3,34857.71384,4,7.997653484,11,10.615,9.5808383
1,4866.183604,5,4.733353615,170,27.262,19.6721311
3,18191.98793,1,9.347121239,85,78.531,19.2982456
2,7643.371463,2,7.703,110,66.963,16.8
3,11015.23763,3,9.013469696,89,50.748,22.3076923
2,7915.198857,1,8.882855,120,46.785,27.0700637
4,23176.79665,1,11.82433128,3,12.156,22.1428571
4,25756.82103,1,8.245105743,8,12.573,31.3043478
4,123124.3596,1,9.070602417,6,9.522,0
3,18107.95704,1,10.77712727,33,30.955,11.9507909
3,22352.04535,1,11.95319462,24,25.727,14.516129
1,1458.039371,2,3.737537622,320,33.616,57.5471698
3,9764.840456,1,9.344302952,34,56.309,20.6896552
3,5327.482686,2,10.31590441,58,28.251,6.122449
2,2918.228611,5,4.658307,210,65.127,18.1818182
4,52821.35798,4,8.695222916,16,10.221,19.8675497
1,2188.114331,5,2.476672553,320,94.404,42.6666667
3,12190.43399,2,10.46026516,16,16.872,34
1,1780.360219,5,3.06,1100,100.685,12.3966942
4,76628.2002,1,10.63,6,6.045,25.2525253
4,25845.28246,1,12.22690128,7,15.872,18.6666667
4,27852.1462,1,11.89249992,7,0.617,27.6923077
2,12122.31676,3,9.943231583,140,50.862,40.7488987
4,32044.86286,1,9.58190918,4,10.624,37.987013
3,9778.605247,3,10.8,29,16.898,5.7777778
1,3808.887883,5,3.137,360,83.966,23.7597911
3,15617.28475,1,7.651408672,130,35.198,11.7647059
1,5542.26692,5,7.122,310,71.986,14.7368421
4,45635.50431,1,12.09518337,4,6.528,43.5530086
4,56431.06833,2,12.82348463,6,1.9,28.4552846
2,2728.221373,5,6.25,49,41.601,12.4
2,2517.402532,3,10.35582,44,42.812,15.2173913
1,2411.472161,3,5.12,410,122.709,36
3,13322.89654,1,7.322291851,26,41.004,6.0913706
3,11780.04468,3,9.2592,7,18.256,33.3333333
2,5362.516358,5,4.424304,270,52.205,38.4615385
1,1228.154409,5,4.461511,450,91.518,17.5824176
3,5069.128017,2,10.71,120,18.11,0
3,26089.9511,1,10.88346335,84,34.805,24.6575342
3,10404.49747,5,6.837558,46,4.602,31.3364055
3,18677.13032,4,7.560710907,20,30.923,14.4160584
1,1612.57569,5,5.42,360,126.648,34.9740933
3,8178.067935,1,11.34,23,25.671,11.8483412
4,60868.33005,2,9.4916875,8,27.625,17.5
4,39267.19081,2,13.0544459,8,25.758,23.5253296
4,52946.51344,1,12.94252883,28,31.001,19.4392523
3,19283.48112,1,8.451206207,14,58.314,11.5384615
2,5567.011781,3,10.85709007,36,38.754,16.4
2,2802.654751,4,6.793013333,86,44.811,0
3,16158.95596,2,8.896468623,110,83.222,16.969697
1,3519.487289,5,2.6,270,47.018,0.7281553
2,3734.033348,4,6.6,280,125.402,12.6582278
1,1615.454099,4,7.25,470,60.256,35.1428571
